corpus_id,corpus_label,organization_lineage,standards_edition,evaluation_role,run_id,case_id,comparison_id,case_kind,parent_case_id,valid_output,parse_status,truth_evidence_sufficient,evidence_sufficient_probability,evidence_sufficient_prediction,binary_prediction_correct,truth_relation,relation_prediction,relation_prediction_correct
impact-forecasting-2023,Impact Forecasting 2023,Impact Forecasting,FCHLPM 2023,INDEPENDENT_VALIDATION_1,55304728,ADV-IF23-FUTURE-REVIEW,CMP-IF23-M3B-HISTORICAL-LANDFALL-OUTPUT,ADVERSE_CONTROL,FC-IF23-M3B-HISTORICAL-LANDFALL-OUTPUT,True,PASS,False,8.677780804233222e-09,False,True,,,
impact-forecasting-2023,Impact Forecasting 2023,Impact Forecasting,FCHLPM 2023,INDEPENDENT_VALIDATION_1,55304728,ADV-IF23-MISSING-G4-INTERRELATIONSHIP-FACET,CMP-IF23-G4-COMPONENT-INDEPENDENCE,ADVERSE_CONTROL,FC-IF23-G4-COMPONENT-INDEPENDENCE,True,PASS,True,0.00013982202428294624,False,False,PARTIALLY_ALIGNED,ALIGNED,False
impact-forecasting-2023,Impact Forecasting 2023,Impact Forecasting,FCHLPM 2023,INDEPENDENT_VALIDATION_1,55304728,ADV-IF23-WRONG-SCOPE-INDEPENDENCE,CMP-IF23-G4-COMPONENT-INDEPENDENCE,ADVERSE_CONTROL,FC-IF23-G4-COMPONENT-INDEPENDENCE,True,PASS,False,7.204970362076284e-12,False,True,,,
impact-forecasting-2023,Impact Forecasting 2023,Impact Forecasting,FCHLPM 2023,INDEPENDENT_VALIDATION_1,55304728,FC-IF23-CI5B-COMPONENT-TESTING,CMP-IF23-CI5B-COMPONENT-TESTING,PRIMARY,,True,PASS,True,0.8872045944627058,True,True,ALIGNED,ALIGNED,True
impact-forecasting-2023,Impact Forecasting 2023,Impact Forecasting,FCHLPM 2023,INDEPENDENT_VALIDATION_1,55304728,FC-IF23-G4-COMPONENT-INDEPENDENCE,CMP-IF23-G4-COMPONENT-INDEPENDENCE,PRIMARY,,True,PASS,True,0.9324533116759811,True,True,PARTIALLY_ALIGNED,ALIGNED,False
impact-forecasting-2023,Impact Forecasting 2023,Impact Forecasting,FCHLPM 2023,INDEPENDENT_VALIDATION_1,55304728,FC-IF23-M3B-HISTORICAL-LANDFALL-OUTPUT,CMP-IF23-M3B-HISTORICAL-LANDFALL-OUTPUT,PRIMARY,,True,PASS,True,1.3287778191852582e-06,False,False,ALIGNED,ALIGNED,True
impact-forecasting-2023,Impact Forecasting 2023,Impact Forecasting,FCHLPM 2023,INDEPENDENT_VALIDATION_1,55304728,FC-IF23-S3-UNCERTAINTY-ANALYSIS,CMP-IF23-S3-UNCERTAINTY-ANALYSIS,PRIMARY,,True,PASS,True,0.007345826954777488,False,False,ALIGNED,PARTIALLY_ALIGNED,False
corelogic-cotality-2023,CoreLogic/Cotality 2023,CoreLogic/Cotality,FCHLPM 2023,INDEPENDENT_VALIDATION_2,55311614,FC-CL25-A5,CMP-CL25-A5,PRIMARY,,True,PASS,False,0.9149009526726544,True,False,,,
corelogic-cotality-2023,CoreLogic/Cotality 2023,CoreLogic/Cotality,FCHLPM 2023,INDEPENDENT_VALIDATION_2,55311614,FC-CL25-CI5,CMP-CL25-CI5,PRIMARY,,True,PASS,True,0.9992206338652304,True,True,PARTIALLY_ALIGNED,ALIGNED,False
corelogic-cotality-2023,CoreLogic/Cotality 2023,CoreLogic/Cotality,FCHLPM 2023,INDEPENDENT_VALIDATION_2,55311614,FC-CL25-G3,CMP-CL25-G3,PRIMARY,,True,PASS,True,0.9999339478395425,True,True,ALIGNED,ALIGNED,True
corelogic-cotality-2023,CoreLogic/Cotality 2023,CoreLogic/Cotality,FCHLPM 2023,INDEPENDENT_VALIDATION_2,55311614,FC-CL25-M2,CMP-CL25-M2,PRIMARY,,True,PASS,True,0.9999124970235886,True,True,PARTIALLY_ALIGNED,ALIGNED,False
corelogic-cotality-2023,CoreLogic/Cotality 2023,CoreLogic/Cotality,FCHLPM 2023,INDEPENDENT_VALIDATION_2,55311614,FC-CL25-S6,CMP-CL25-S6,PRIMARY,,True,PASS,True,0.9539661002182845,True,True,ALIGNED,ALIGNED,True
corelogic-cotality-2023,CoreLogic/Cotality 2023,CoreLogic/Cotality,FCHLPM 2023,INDEPENDENT_VALIDATION_2,55311614,FC-CL25-V1,CMP-CL25-V1,PRIMARY,,True,PASS,True,0.9465966750964616,True,True,ALIGNED,ALIGNED,True
verisk-2023-validation-d,Verisk Validation D,Verisk,FCHLPM 2023,VALIDATION_D,55372902,ADV-VD23-A2-REVISION-HISTORY-ONLY,CMP-VD23-A2,ADVERSE_CONTROL,FC-VD23-A2,True,PASS,False,5.271268923002547e-12,False,True,,,
verisk-2023-validation-d,Verisk Validation D,Verisk,FCHLPM 2023,VALIDATION_D,55372902,ADV-VD23-CI6-FUTURE-REVIEW,CMP-VD23-CI6,ADVERSE_CONTROL,FC-VD23-CI6,True,PASS,False,1.5737102106615244e-11,False,True,,,
verisk-2023-validation-d,Verisk Validation D,Verisk,FCHLPM 2023,VALIDATION_D,55372902,ADV-VD23-G2-COPIED-REQUIREMENT,CMP-VD23-G2,ADVERSE_CONTROL,FC-VD23-G2,True,PASS,False,1.8581863469805918e-10,False,True,,,
verisk-2023-validation-d,Verisk Validation D,Verisk,FCHLPM 2023,VALIDATION_D,55372902,ADV-VD23-M3-FUTURE-REVIEW,CMP-VD23-M3,ADVERSE_CONTROL,FC-VD23-M3,True,PASS,False,1.133500943024469e-11,False,True,,,
verisk-2023-validation-d,Verisk Validation D,Verisk,FCHLPM 2023,VALIDATION_D,55372902,ADV-VD23-S2-REVIEWER-ONLY,CMP-VD23-S2,ADVERSE_CONTROL,FC-VD23-S2,True,PASS,False,4.508755242274496e-12,False,True,,,
verisk-2023-validation-d,Verisk Validation D,Verisk,FCHLPM 2023,VALIDATION_D,55372902,ADV-VD23-V2-COPIED-REQUIREMENT,CMP-VD23-V2,ADVERSE_CONTROL,FC-VD23-V2,True,PASS,False,1.7656539221880499e-12,False,True,,,
verisk-2023-validation-d,Verisk Validation D,Verisk,FCHLPM 2023,VALIDATION_D,55372902,FC-VD23-A2,CMP-VD23-A2,PRIMARY,,True,PASS,True,0.9999994460829615,True,True,ALIGNED,ALIGNED,True
verisk-2023-validation-d,Verisk Validation D,Verisk,FCHLPM 2023,VALIDATION_D,55372902,FC-VD23-CI6,CMP-VD23-CI6,PRIMARY,,True,PASS,True,0.999999988857509,True,True,ALIGNED,ALIGNED,True
verisk-2023-validation-d,Verisk Validation D,Verisk,FCHLPM 2023,VALIDATION_D,55372902,FC-VD23-G2,CMP-VD23-G2,PRIMARY,,True,PASS,True,0.9989012686747324,True,True,ALIGNED,ALIGNED,True
verisk-2023-validation-d,Verisk Validation D,Verisk,FCHLPM 2023,VALIDATION_D,55372902,FC-VD23-M3,CMP-VD23-M3,PRIMARY,,True,PASS,True,0.9976032686088045,True,True,ALIGNED,ALIGNED,True
verisk-2023-validation-d,Verisk Validation D,Verisk,FCHLPM 2023,VALIDATION_D,55372902,FC-VD23-S2,CMP-VD23-S2,PRIMARY,,True,PASS,True,1.6701429809483402e-05,False,False,ALIGNED,PARTIALLY_ALIGNED,False
verisk-2023-validation-d,Verisk Validation D,Verisk,FCHLPM 2023,VALIDATION_D,55372902,FC-VD23-V2,CMP-VD23-V2,PRIMARY,,True,PASS,True,0.9999516743791508,True,True,ALIGNED,ALIGNED,True
kcc-2023-test-e,KCC final Test E,Karen Clark Company,FCHLPM 2023,FINAL_TEST_E,55434235,ADV-TE23-A2-REVISION-HISTORY-ONLY,CMP-TE23-A2,ADVERSE_CONTROL,FC-TE23-A2,True,PASS,False,1.1513509855577462e-11,False,True,,,
kcc-2023-test-e,KCC final Test E,Karen Clark Company,FCHLPM 2023,FINAL_TEST_E,55434235,ADV-TE23-CI6-FUTURE-REVIEW,CMP-TE23-CI6,ADVERSE_CONTROL,FC-TE23-CI6,True,PASS,False,1.0815941557168708e-11,False,True,,,
kcc-2023-test-e,KCC final Test E,Karen Clark Company,FCHLPM 2023,FINAL_TEST_E,55434235,ADV-TE23-G2-COPIED-REQUIREMENT,CMP-TE23-G2,ADVERSE_CONTROL,FC-TE23-G2,True,PASS,False,2.9569138787925213e-12,False,True,,,
kcc-2023-test-e,KCC final Test E,Karen Clark Company,FCHLPM 2023,FINAL_TEST_E,55434235,ADV-TE23-M3-FUTURE-REVIEW,CMP-TE23-M3,ADVERSE_CONTROL,FC-TE23-M3,True,PASS,False,7.913111885021076e-12,False,True,,,
kcc-2023-test-e,KCC final Test E,Karen Clark Company,FCHLPM 2023,FINAL_TEST_E,55434235,ADV-TE23-S2-REVIEWER-ONLY,CMP-TE23-S2,ADVERSE_CONTROL,FC-TE23-S2,True,PASS,False,3.098819138712223e-12,False,True,,,
kcc-2023-test-e,KCC final Test E,Karen Clark Company,FCHLPM 2023,FINAL_TEST_E,55434235,ADV-TE23-V2-COPIED-REQUIREMENT,CMP-TE23-V2,ADVERSE_CONTROL,FC-TE23-V2,True,PASS,False,3.3315445420554206e-11,False,True,,,
kcc-2023-test-e,KCC final Test E,Karen Clark Company,FCHLPM 2023,FINAL_TEST_E,55434235,FC-TE23-A2,CMP-TE23-A2,PRIMARY,,True,PASS,True,0.999851161501337,True,True,ALIGNED,ALIGNED,True
kcc-2023-test-e,KCC final Test E,Karen Clark Company,FCHLPM 2023,FINAL_TEST_E,55434235,FC-TE23-CI6,CMP-TE23-CI6,PRIMARY,,True,PASS,True,0.9999923534626501,True,True,PARTIALLY_ALIGNED,ALIGNED,False
kcc-2023-test-e,KCC final Test E,Karen Clark Company,FCHLPM 2023,FINAL_TEST_E,55434235,FC-TE23-G2,CMP-TE23-G2,PRIMARY,,True,PASS,True,0.9999970055586617,True,True,ALIGNED,ALIGNED,True
kcc-2023-test-e,KCC final Test E,Karen Clark Company,FCHLPM 2023,FINAL_TEST_E,55434235,FC-TE23-M3,CMP-TE23-M3,PRIMARY,,True,PASS,True,0.9825575119119352,True,True,ALIGNED,ALIGNED,True
kcc-2023-test-e,KCC final Test E,Karen Clark Company,FCHLPM 2023,FINAL_TEST_E,55434235,FC-TE23-S2,CMP-TE23-S2,PRIMARY,,True,PASS,True,0.09268778239879398,False,False,ALIGNED,ALIGNED,True
kcc-2023-test-e,KCC final Test E,Karen Clark Company,FCHLPM 2023,FINAL_TEST_E,55434235,FC-TE23-V2,CMP-TE23-V2,PRIMARY,,True,PASS,True,0.9999947446017871,True,True,PARTIALLY_ALIGNED,ALIGNED,False
